Поступление товаров,,,,,,,,,,
"Группировки строк: Ссылка.Магазин; Ссылка; 
Дополнительные поля: Номенклатура; Характеристика номенклатуры; Номенклатура.Код; Количество; Ставка НДС; Сумма НДС; Цена; Сумма; Ссылка.Магазин; Ссылка.Дата; Ссылка.Номер; Ссылка.Контрагент; Ссылка.Сумма документа; Ссылка.Проведен; 
Отбор: Ссылка.Дата Больше или равно ""21.06.2013 0:00:00"" И Ссылка.Дата Меньше или равно ""30.10.2013 23:50:00""",,,,,,,,,,
,,,,,,,,,,
Ссылка,,,,,Шапка,,,,,
,,,,,Ссылка.Магазин,,,,,
"Номенклатура, Код",Характеристика номенклатуры,Количество,Цена,Сумма,Шапка,,,,,
,,,,,Ссылка.Магазин,Ссылка.Дата,Ссылка.Номер,Ссылка.Контрагент,Ссылка.Сумма документа,Ссылка.Проведен
,,,,,Магазин Галерея,,,,,
"Платье 78, ЦБ000004186",,6.000,"3,400.00","20,400.00",,,,,,
"Куртка APXX 6818, ЦБ000004187",,21.000,"7,000.00","147,000.00",,,,,,
"Платье Marc Jacobs 31366, ЦБ000004102",,4.000,"3,300.00","13,200.00",,,,,,
"Платье 313476, ЦБ000004103",,6.000,"3,400.00","20,400.00",,,,,,
"Кофта La femme 3266, ЦБ000004188",,16.000,"1,700.00","27,200.00",,,,,,
"Джинсы  Itaimaska 1373, ЦБ000004189",,9.000,"2,400.00","21,600.00",,,,,,
"Шуба 89005, ЦБ000004190",,3.000,"25,000.00","75,000.00",,,,,,
"Ремень 017, ЦБ000004191",,10.000,800.00,"8,000.00",,,,,,
"Ремень 018, ЦБ000004192",,15.000,500.00,"7,500.00",,,,,,
Поступление товаров ЦБ000000251 от 01.09.2013 21:21:53,,,,,Магазин Галерея,01.09.2013 21:21:53,ЦБ000000251,Норд 1-44,"2,900.00",Да
"Платье Victoria B. 3245, ЦБ000004047",,1.000,"2,900.00","2,900.00",,,,,,
Поступление товаров ЦБ000000254 от 02.09.2013 12:37:15,,,,,Магазин Галерея,02.09.2013 12:37:15,ЦБ000000254,AMN,"135,600.00",Да
"Джинсы  AMN 4070 DNM1, ЦБ000004193",,15.000,"3,300.00","49,500.00",,,,,,
"Джинсы  AMN 4153 DNM, ЦБ000004194",,10.000,"3,300.00","33,000.00",,,,,,
"Платье Forsara 1770, ЦБ000004195",,3.000,"3,300.00","9,900.00",,,,,,
"Юбка Sirius 2380, ЦБ000004080",,16.000,"2,700.00","43,200.00",,,,,,
Поступление товаров ЦБ000000262 от 02.09.2013 21:12:13,,,,,Магазин Галерея,02.09.2013 21:12:13,ЦБ000000262,Дыбенко,"11,700.00",Да
"Брюки Forsara 1727, ЦБ000004117",,3.000,"2,900.00","8,700.00",,,,,,
"Кофта  Blayais 95, ЦБ000004166",,2.000,"1,500.00","3,000.00",,,,,,
Поступление товаров ЦБ000000261 от 02.09.2013 21:15:19,,,,,Магазин Галерея,02.09.2013 21:15:19,ЦБ000000261,Пик,"9,900.00",Да
"Джинсы AMN , ЦБ000003204",,3.000,"3,300.00","9,900.00",,,,,,
Поступление товаров ЦБ000000265 от 03.09.2013 21:04:36,,,,,Магазин Галерея,03.09.2013 21:04:36,ЦБ000000265,AMN,,Да
